author,reviewRating,reviewBody,dateCreated,reviewUrl,orginalText,name,place_id,aggregateRating
Huang Kuan-Jung,4.0,The food is delicious,2 weeks ago,https://www.google.com/maps/contrib/115779047335959439074/reviews?hl=en-US&sa=X&ved=2ahUKEwjSi-Tsp7v5AhX-LEQIHTaDBIoQvfQBegUIARCQAQ,食物很好吃,勝利洋食,ChIJFUD2uM2rQjQRnjn-N2UsCbA,4.8
ingrid tsai,3.0,Lo Mei is a bit too salty and expensive for me.,4 days ago,https://www.google.com/maps/contrib/107721633653825910726/reviews?hl=en-US&sa=X&ved=2ahUKEwil_ozqp7v5AhUXKkQIHcI6AD0QvfQBegQIARAC,對我來說滷味有點太鹹而且貴。,南港北大荒水餃店,ChIJv4dK1lirQjQRTurkPAZOiqA,3.8
Akasha wu,5.0,"The dumplings are super large and solid, the filling is delicious, the noodles with noodles are very Q, and the gravy is also delicious 👍🏻👍🏻👍🏻",3 days ago,https://www.google.com/maps/contrib/117952915124166876980/reviews?hl=en-US&sa=X&ved=2ahUKEwjrjsrpp7v5AhWaKkQIHTvpDhQQvfQBegUIARCnAg,水餃超大顆紮實，內餡很好吃，拌麵麵條很Q，滷味也很好吃👍🏻👍🏻👍🏻,南港北大荒水餃店,ChIJv4dK1lirQjQRTurkPAZOiqA,3.8
eyes dark,5.0,"There is only one kind of chicken meat sauce curry in the store, and then you can choose the food from the first product area to enrich the curry. I ordered fried beef filet. I was a little scared when I was at the table, but after taking a bite of beef filet, I thought it was the best beef I have ever eaten. I have eaten fried steak before. Maybe the frying technique is not good and it does not taste very good, but this is really It's delicious! Soft and fragrant, the taste with chicken curry is even more appetizing! The soup is mushroom-based miso soup. It tastes different from ordinary miso. The rich aroma after drinking makes people want to refill the bowl. I didn’t have time to go to try it out. A few days ago, I stopped by because my work ended early. There were no customers in the store at about 4 pm, but I heard that a few groups of customers came to reserve seats for the evening. I think I might come later if I come. There is no seat, maybe it's a great dining experience, I will go back to try other dishes next time👍",5 days ago,https://www.google.com/maps/contrib/102588373631517246114/reviews?hl=en-US&sa=X&ved=2ahUKEwjWsKzqp7v5AhUoLkQIHdSqCgcQvfQBegUIARDrAQ,店內咖哩只有一種雞肉肉醬咖哩，然後可以選一品區域的食物一同搭配來豐富這盤咖哩，我點的是炸牛菲力，個人之前比較少食用帶血程度比較多的牛排，一開始上桌的時候有點怕的，但是吃了一口牛菲力覺得是目前吃過最好吃的牛肉，以前曾吃過炸牛排，可能炸的技術不好吃起來並沒有很好的體驗，但這真的很好吃！軟嫩且而且很香，配上雞肉咖哩的味道更是食慾大開！而湯品是菇類的味噌湯，與一般的味增喝起來不同，濃郁的香味在喝完後的餘韻讓人很想續碗👍這間店之前我曾標記想去的店家，但遲遲沒有空特別前往嘗試，幾天前因為工作提前結束順道前往，下午約4點左右剛好店內沒什麼客人，不過聽到有幾組客人前來預定晚上的位子，我想我要是晚些時間來可能就沒有位子了也說不定😂很棒的用餐體驗，下次會再前往嘗試其他的菜品👍,勝利洋食,ChIJFUD2uM2rQjQRnjn-N2UsCbA,4.8
Moon Forrest,5.0,"I like soup, so I especially like this kind of restaurant. I ordered the classic beef stew, minced pork stew with cream cheese and honey pumpkin soup. Paired with the main food chestnut rice, salad and tamagoyaki tofu are also good.",3 months ago,https://www.google.com/maps/contrib/108917113086676002077/reviews?hl=en-US&sa=X&ved=2ahUKEwi_v97rp7v5AhXTLEQIHZ5uDwEQvfQBegQIARBm,我喜歡喝湯，所以特別喜歡這種店，點了經典牛肉燉湯，奶油起司碎豬肉燉湯還有蜂蜜南瓜湯都好喝唷 配上主食栗子飯，沙拉跟玉子燒豆腐也都不錯。,小湯烏 湯專門店,ChIJw__PrcerQjQRR68o5dQYYbg,4.4
洪許淑真,4.0,good food,20 hours ago,https://www.google.com/maps/contrib/115997483460135451590/reviews?hl=en-US&sa=X&ved=2ahUKEwjhtoLqp7v5AhVZDkQIHZccAwEQvfQBegQIARA6,餐點不錯吃,Solo Pasta,ChIJwQPcmc-rQjQRtXDQA__PPwg,4.6
Mildred Lee,5.0,"The seasoning of the curry personally feels that the ginger taste is too strong and I don't like it very much. Paired with fried filet mignon, the meat is very tender! It's delicious and I like it! The mushroom flavor of the soup is distinct, which is different from the miso soup in the previous impression, and it is delicious! My boyfriend didn't dare to eat oysters, so he swallowed all 3 oysters, crispy on the outside and tender on the inside, very, very delicious. (The only suggestion is that the air-conditioning temperature is not enough, it will feel a little stuffy in the afternoon meal in summer)",2 weeks ago,https://www.google.com/maps/contrib/108753925920125698481/reviews?hl=en-US&sa=X&ved=2ahUKEwi21Jnsp7v5AhV9LUQIHQCUBnsQvfQBegQIARAb,咖哩的調味個人覺得薑味太重沒有很喜歡。搭配的是炸菲力牛，肉品滿分非常嫩！很好吃很喜歡！湯的菇味鮮明，與以往印象裡的味增湯有所不同，是好喝的！男友不敢吃牡蠣，於是3粒全吞下肚，外酥內嫩非常非常美味。（唯一唯一建議冷氣溫度不夠，在夏季的下午用餐裡會覺得稍微悶熱）,勝利洋食,ChIJFUD2uM2rQjQRnjn-N2UsCbA,4.8
Lin Matt,2.0,"Is this a famous shop? Finally I heard that there is a shop that is 30 mins instead of 60 or 90 mins, and the ramen shop does not have an outlet like you said. It is recommended not to open the booking service You agree to book a seat, and you also arrange for a seat. Just sat down and said that you only have 30mins meal time. And I obviously feel that I want to urge to order immediately. The whole meal experience is very poor before the meal arrives. It can be seen that our reaction is not really only eating for 30mins. Finally, please arrange the guest location area next time, don't tie the knot",2 weeks ago,https://www.google.com/maps/contrib/113212512524380136474/reviews?hl=en-US&sa=X&ved=2ahUKEwjSi-Tsp7v5AhX-LEQIHTaDBIoQvfQBegQIARAZ,"這是間很有名的店？ 終於聽到有間店是30 並非60 or 90 mins, 拉麵店都沒您們這樣講的出口。 建議不要開放預訂服務 訂了位也是您們同意，入座也您們安排， 才就坐就說您們只有30mins 用餐時間. 並明顯感受到想催促立刻點餐，餐未到就整個用餐感受極差，看出我們反應才沒有真的只用餐30mins。 最後請您們下次請排好客人位置區，不要打結了",勝利洋食,ChIJFUD2uM2rQjQRnjn-N2UsCbA,4.8
Chien Kung,5.0,"Every soup is authentic. The focaccia bread has just the right aroma, crispy on the outside and soft on the inside, making it suitable for soups. The dried tofu is marinated and the taste is solid. The udon noodles are smooth and smooth.",a week ago,https://www.google.com/maps/contrib/115694954053405183297/reviews?hl=en-US&sa=X&ved=2ahUKEwjhtfbpp7v5AhUcLEQIHRuaBHsQvfQBegUIARCXAQ,每種湯都真材實料。佛卡夏麵包香氣剛好，外酥內軟，適合搭配濃湯。豆干滷得入味，口感也紮實。烏龍麵滑順Q彈。,小湯烏 湯專門店,ChIJw__PrcerQjQRR68o5dQYYbg,4.4
NewSensation Studio,5.0,Delicious and delicious fried steak Return to the curry taste of a Japanese restaurant in a second,6 days ago,https://www.google.com/maps/contrib/114994548002700148406/reviews?hl=en-US&sa=X&ved=2ahUKEwjQ3pLrp7v5AhX4BEQIHXI8BlAQvfQBegQIARAZ,炸牛排神仙美味 一秒回到日本洋食館的咖哩口味,勝利洋食,ChIJFUD2uM2rQjQRnjn-N2UsCbA,4.8
1 J,4.0,"The pasta (duck breast) is really good, the tiramisu tastes a little heavy but delicious, the cheese and cheese rolls are also very good, but other things are very ordinary, such as the dry and hard bread (the delicious ones should be crispy on the outside and soft on the inside). ), the anchovy balls in the fried seafood feel almost just flour, and the baked tripe is quite satisfactory..",a week ago,https://www.google.com/maps/contrib/110542997286481477230/reviews?hl=en-US&sa=X&ved=2ahUKEwiNkbvrp7v5AhW9D0QIHVSiCk8QvfQBegQIARBb,義大利麵（鴨胸）確實不錯，提拉米蘇酒味稍重但好吃，奶酪跟起司捲也很不錯，但其他東西就很普通，例如麵包乾硬（好吃的要外酥內軟），炸海鮮裡的鯷魚丸感覺幾乎只是麵粉，焗牛肚則中規中矩..,Solo Pasta,ChIJwQPcmc-rQjQRtXDQA__PPwg,4.6
李建綱,5.0,"The curry is delicious, the soup is really delicious, and the sandwiches are delicious too! recommend! !",a week ago,https://www.google.com/maps/contrib/108218858281299194145/reviews?hl=en-US&sa=X&ved=2ahUKEwjQ3pLrp7v5AhX4BEQIHXI8BlAQvfQBegUIARClAQ,咖喱很美味，湯真的超好喝，三明治也好吃喔！推薦！！,勝利洋食,ChIJFUD2uM2rQjQRnjn-N2UsCbA,4.8
Anne,3.0,"Meals: The performance of the meals are all above the standard, some of them are quite excellent, the pumpkin soup is very rich and layered, the cuttlefish noodle sauce is rich but not greasy, the octopus looks simple but completely retains the sweetness of the ingredients, and the seasoning is more fresh. taste. In the pasta part, the cuttlefish sauce is thick and fragrant; the meat sauce has many flavor-enhancing ingredients, and the layers are very rich. However, the thin noodles are cooked softer, and the wide noodles have a moderate taste. Personally, I prefer the firmness of the wide noodles. I ordered white truffle stewed egg and balsamic vinegar duck breast spaghetti more in the second visit. Both of them are amazingly delicious. The cheese roll for dessert is very special, with varied taste and rich cheese layers. Recommended~ Serve: The service attitude is very good, they introduce the meals very seriously, and they will respond immediately if you have any needs, but the food is served quickly, and you can eat in a hurry. Three visit update: Beef stew bread is ordinary The truffle taste of black truffle pancakes is super cheap and a bit scary The cat's ears are delicious, but the seasoning is very ordinary. I don't know why it's so red. It's not particularly outstanding. For the service part, the first time I sat on the side without the male clerk, the service was so bad that I couldn't understand it. I sat down for ten minutes and didn't get the menu. Three minutes after the menu was called, I kept coming over to ask if I wanted to order == down to samsung",a week ago,https://www.google.com/maps/contrib/111467921920866121056/reviews?hl=en-US&sa=X&ved=2ahUKEwiNkbvrp7v5AhW9D0QIHVSiCk8QvfQBegQIARBy,餐點： 餐點的表現都超乎水準，有幾道相當優秀，南瓜濃湯味道很豐富有層次，墨魚麵醬汁濃郁卻不膩口，章魚看似簡單但完整保留食材甜味，調味上更提出鮮味。義大利麵部分，墨魚醬汁濃厚程度剛好，香氣撲鼻；肉醬則加入許多提味成分，層次非常豐富。但細麵煮得比較軟，寬麵口感則較為適中，個人比較偏愛寬麵的硬度。 二訪多點了白松露燉蛋還有巴薩米克醋鴨胸義大利麵，兩者都是令人驚豔的好吃，甜點的起司捲很特別，口感多變起司層次豐富，推薦～ 服務： 服務態度挺好，很認真介紹餐點，有任何需求也會即時回應，惟上菜速度飛快，吃得比較趕。 三訪更新： 燉牛肉的麵包很普通 黑松露煎餅的松露味道超級廉價 有點恐怖 貓耳朵麵麵體好吃 但調味很普通 不知道為什麼那麼紅 沒有特別出彩 服務的部分，第一次坐到沒有男店員的這一側，服務糟糕到難以理解，坐下來十分鐘還沒上菜單，叫來菜單之後三分鐘就一直過來問要不要點餐== 降到三星,Solo Pasta,ChIJwQPcmc-rQjQRtXDQA__PPwg,4.6
吳鵬飛,5.0,"8/1 to dine in store Service: Good, will take the initiative to ask about the taste of the meal and the order of the meal, and remind the preparation time. diet: The appetizer - Stewed Egg with White Truffle and Cream (RMB 280) is an excellent meal. The combination of White Truffle and Stewed Egg with Cream is very fragrant. You can feel the deliciousness of the two when you eat it with bread, but I hope the bread can be replaced with a more European style. hard lunch packs. Main dish - cat ears noodles (300 yuan): a very distinctive noodle style, the cat ears are cooked with chewy, with peeled sausage and cauliflower, the overall is salty, but delicious. Beverage-Royal Wedding Song Tea (220RMB): The most satisfying diet this time, pure tea and fresh milk are two different tea drinks, and they taste quite layered, with a bit of cream and grass aroma. Dessert - Tiramisu (RMB 140): Tiramisu is of high quality, and it falls to the ground. Finger biscuits and mascarpone cheese soaked in coffee wine are used. The wine has a strong aroma and is delicious. price: The overall price is a little high, but the feeling is quite good, very suitable for friends and family dinner.",a week ago,https://www.google.com/maps/contrib/103223899080478146992/reviews?hl=en-US&sa=X&ved=2ahUKEwiNkbvrp7v5AhW9D0QIHVSiCk8QvfQBegQIARAC,8/1 至店上用餐 服務：良好，會主動詢問餐點口味以及上餐順序，並提醒準備時間。 飲食： 前菜-白松露奶油燉蛋（280元）表現相當優異的餐點，白松露與奶油燉蛋的搭配非常香，與麵包一起食用可以感受得到兩者交融的美味，但希望麵包可以換成較為歐式的硬餐包。 主食-貓耳朵麵（300元）：很有特色的麵款，貓耳朵煮得帶有嚼勁，搭配脫皮的香腸與花椰菜，整體偏鹹，但很美味。 飲料-皇家結婚曲茶（220元）：本次最滿意的飲食，純茶與加了鮮奶之後是兩種不同茶飲，且喝起來相當有層次，帶點奶油與青草香氣。 甜點-提拉米蘇（140元）：表現優質的提拉米蘇，且十分倒地，使用了泡過咖啡酒水液的手指餅乾與馬斯卡彭乳酪，酒香較為濃厚，很好吃。 價格： 整體價格略高，但感受相當良好，很適合朋友家人聚餐。,Solo Pasta,ChIJwQPcmc-rQjQRtXDQA__PPwg,4.6
Wendy W (Wooglelocalguide),5.0,"There are not many small shops in the east area, and the price is very close to the people The curry taste is very special and delicious Fried oysters and fried chicken are delicious The meat of the sandwich is good, but I personally feel that the gravy is soft on the toast, so I don't recommend it so much",a day ago,https://www.google.com/maps/contrib/101817097303403201691/reviews?hl=en-US&sa=X&ved=2ahUKEwjWsKzqp7v5AhUoLkQIHdSqCgcQvfQBegQIARBu,東區小店位置不多，價格很親民 咖喱的味道很特別蠻好吃的 炸牡蠣和炸雞很好吃 三明治的肉很好但個人覺得肉汁沾到吐司軟掉，所以沒那麼推薦,勝利洋食,ChIJFUD2uM2rQjQRnjn-N2UsCbA,4.8
Jessica Huang,5.0,"In fact, this is the second visit~ Because I have never been to Italy😆, I can't comment on the taste, but the store emphasizes that they attach great importance to tradition, which should be very authentic! Although the taste may not be very suitable for personal eating habits, but it definitely reflects the attention of the restaurant in cooking! (I just don't like meat-based food, so this time my favorite is basil green sauce noodles, tea and tiramisu) The shop assistants are also very kind! I have eaten duck breast noodles and cat ear noodles before, which should be considered meaty dishes~ Cheese roll is a dish I have never seen! It is also a taste I have never imagined. It has a citrus flavor in the middle and a ghee on the outer skin. If you have never tasted it, you can try it! Although I prefer tiramisu. Tiramisu rum (? strong flavor",a week ago,https://www.google.com/maps/contrib/115867495644593760436/reviews?hl=en-US&sa=X&ved=2ahUKEwj52ofsp7v5AhX-KkQIHVh3AcMQvfQBegQIARAC,其實是二訪了～因為沒去過義大利😆所以沒辦法評論口味如何，不過店家特別強調他們重視傳統，應該就是很道地! 雖然味道上不一定會很合個人的飲食習慣，但絕對吃的出來店家在料理上的用心!（剛好我比較不喜歡肉味為主的食物，因此這次最喜歡的是羅勒青醬麵、茶和提拉米蘇） 店員也都滿親切的! 之前有點過鴨胸麵跟貓耳朵麵，應該也算是肉味較重的料理～ 起司捲則是我從來沒看過的料理! 也是我從來沒想像過的味道，中間有柑橘味、外皮有酥油感，沒有吃過感覺可以試試看! 雖然還是更推提拉米蘇。提拉米蘇的蘭姆酒(?味道很濃,Solo Pasta,ChIJwQPcmc-rQjQRtXDQA__PPwg,4.6
王孜維,5.0,The sandwiches are great as is the curry,a week ago,https://www.google.com/maps/contrib/117967840966424892646/reviews?hl=en-US&sa=X&ved=2ahUKEwjQ3pLrp7v5AhX4BEQIHXI8BlAQvfQBegUIARC8AQ,三明治很棒 咖喱也好吃,勝利洋食,ChIJFUD2uM2rQjQRnjn-N2UsCbA,4.8
108 118賴育信,5.0,I like the texture and taste of the curry minced meat sauce Perfect with cheese beef balls,2 weeks ago,https://www.google.com/maps/contrib/101365564703557951442/reviews?hl=en-US&sa=X&ved=2ahUKEwi21Jnsp7v5AhV9LUQIHQCUBnsQvfQBegQIARBN,咖哩肉末醬的口感跟味道都很喜歡 加上起司牛肉丸 絕配,勝利洋食,ChIJFUD2uM2rQjQRnjn-N2UsCbA,4.8
李國誠,4.0,dumplings are big The gravy is also delicious,a week ago,https://www.google.com/maps/contrib/115720513078153770065/reviews?hl=en-US&sa=X&ved=2ahUKEwjrzuXqp7v5AhV_KEQIHVEWCJ0QvfQBegQIARAC,水餃很大顆 滷味也好吃,南港北大荒水餃店,ChIJv4dK1lirQjQRTurkPAZOiqA,3.8
Stanley Lin,5.0,"20222.07 changed the name of the store, and there is a new menu of udon noodles, which is super delicious, the soup tastes very good, and there is a choice of two sauces, scallion sauce or pepper and spicy sauce, I like it very much! A shop I love very much. It uses solid ingredients. Every day, I continue to work hard to cook all kinds of delicious soups. I will order a set meal and enjoy two kinds of soups at a time. I have almost drank all the menus for one round. Love their classic beef stew and thick shrimp soup, the beef soup is tomato base, the beef stew is tender and chunky, with asparagus, peas, cheese, it's really rich, and when you want something refreshing Just pair it with witch soup. There are different vegetarian soups every day, and there are often surprises. The creamy porcini mushroom soup is a piece of chicken thigh. There are really foods that the store is so willing to make, and there are also cream or tomato flavors. The meat sauce soup, the point is that the dining environment is very good, it is a good place to eat and chat with friends, I really recommend it to everyone. By the way, lemon egg salad is super suitable for summer, refreshing and greasy, with almond slices on top!",a week ago,https://www.google.com/maps/contrib/110357195224772641551/reviews?hl=en-US&sa=X&ved=2ahUKEwjokbXqp7v5AhUNLEQIHXUVC_MQvfQBegQIARAZ,20222.07換了店名，竟然有新菜單烏龍麵，超級好吃，湯頭的味道很不錯，還有附沾醬二選一，蔥油醬或是椒麻辣醬，都好讚好喜歡！ 非常愛的一家店，用料紮實，每天都持續的努力熬煮各種好喝的湯品，都會點套餐一次享用兩種湯品，幾乎把菜單都喝過一輪了，算是非常久的顧客，最喜歡他們的經典牛肉燉湯和濃蝦湯，牛肉湯是番茄基底，牛肉燉的軟嫩又大塊，還有蘆筍、豌豆、起司，喝起來真的很豐富，另外想要清爽一點的時候就搭配巫婆湯，每天都不同的素湯，常常會有驚喜的搭配，奶油牛肝菌菇湯，是一塊塊的雞腿肉，真的有店家這麼願意做好的食物，也有奶油或是蕃茄口味的肉醬湯，重點是用餐環境很不錯，是和朋友吃飯聊天的好地方，真心推薦給大家。對了，夏天吃檸檬蛋沙拉超級適合，清爽又解膩，上頭還有杏仁片！,小湯烏 湯專門店,ChIJw__PrcerQjQRR68o5dQYYbg,4.4
Emma Chen,5.0,"Oxtail noodles are a must order every time you come! The egg yolk noodles are very fragrant, and the stewed eggs are amazing! Tiramisu is really delicious",a week ago,https://www.google.com/maps/contrib/114919510642637732515/reviews?hl=en-US&sa=X&ved=2ahUKEwj52ofsp7v5AhX-KkQIHVh3AcMQvfQBegQIARAg,牛尾麵每次來必點！蛋黃麵很香，燉蛋非常驚艷！提拉米蘇真的好吃到飛天,Solo Pasta,ChIJwQPcmc-rQjQRtXDQA__PPwg,4.6
iu l,5.0,Delicious and delicious 🤤,a week ago,https://www.google.com/maps/contrib/111901647759318506754/reviews?hl=en-US&sa=X&ved=2ahUKEwjQ3pLrp7v5AhX4BEQIHXI8BlAQvfQBegQIARBe,好吃好吃🤤,勝利洋食,ChIJFUD2uM2rQjQRnjn-N2UsCbA,4.8
緯,5.0,"Miso soup is delicious, fried beef filet is very tender and delicious",3 days ago,https://www.google.com/maps/contrib/118142467838326425331/reviews?hl=en-US&sa=X&ved=2ahUKEwjWsKzqp7v5AhUoLkQIHdSqCgcQvfQBegUIARCPAQ,味增湯好喝 炸牛菲力很嫩很好吃,勝利洋食,ChIJFUD2uM2rQjQRnjn-N2UsCbA,4.8
Felicia,4.0,"2022/07 The soup is delicious, the items are different every day Chili Magan Oolong Recommended for those who like spicy food Dried bean curd is also delicious",3 weeks ago,https://www.google.com/maps/contrib/101264443044022096418/reviews?hl=en-US&sa=X&ved=2ahUKEwjokbXqp7v5AhUNLEQIHXUVC_MQvfQBegQIARBf,2022/07 湯很好喝，每天供應的品項不一樣 椒麻乾烏龍推薦喜歡吃辣的 小菜豆乾也很入味,小湯烏 湯專門店,ChIJw__PrcerQjQRR68o5dQYYbg,4.4
IMP Matthew,1.0,"After six o'clock, two pastas and one roast vegetables, and at half past six, the meal is still not served. The point is that there are two tables next to us who are 10 minutes or 20 minutes behind us. Asked the waiter and told us that our noodles are cooked from raw so it takes a long time, and then it will be served after 2 minutes. So the mobile phone didn't bring anything after 2 minutes, so I had to leave decisively. I guess their noodles may still be growing in the fields waiting to be harvested.",a week ago,https://www.google.com/maps/contrib/117611657975336281872/reviews?hl=en-US&sa=X&ved=2ahUKEwiNkbvrp7v5AhW9D0QIHVSiCk8QvfQBegUIARC9AQ,六點點完餐，兩份義大利麵和一份烤蔬菜，到了六點半餐都還沒上。重點是旁邊有兩桌比我們慢到10分鐘、20分鐘的客人，他們點的餐都已經上了，蝦子都吃完了。詢問服務人員，告知我們的麵是從生的開始煮所以比較久，然後2分鐘後就上菜。於是手機計時2分鐘還沒端東西上來，只好果斷離開，我猜他們的麵可能還長在田裡等收割吧。,Solo Pasta,ChIJwQPcmc-rQjQRtXDQA__PPwg,4.6
